	HYBAS_ID	NEO	PALEO	MISTO	SUPER	NotSignificant
1	6050000010	0	1	0	0	0
2	6050000740	0	0	0	0	1
3	6050068100	0	0	0	0	1
4	6050068110	0	0	0	0	1
5	6050070260	0	0	1	0	0
6	6050070270	0	0	0	0	1
7	6050069460	0	0	1	0	0
8	6050069430	0	0	0	0	1
9	6050089660	0	0	1	0	0
10	6050089740	0	0	0	1	0
11	6050000750	0	0	0	1	0
12	6050001940	0	0	1	0	0
13	6050001950	0	0	0	0	1
14	6050003210	0	0	0	0	1
15	6050003220	0	0	0	0	1
16	6050003680	0	0	0	0	1
17	6050003690	0	0	0	0	1
18	6050004060	0	0	0	0	1
19	6050004070	0	0	0	0	1
20	6050004470	0	0	0	0	1
21	6050075390	0	0	0	0	1
22	6050075410	0	0	0	0	1
23	6050079390	0	0	0	0	1
24	6050079310	0	0	0	0	1
25	6050084190	0	0	0	0	1
26	6050084230	0	0	0	0	1
27	6050084040	0	0	0	0	1
28	6050084130	0	0	0	0	1
29	6050084460	0	0	0	0	1
30	6050084380	0	0	0	0	1
31	6050084750	0	0	0	0	1
32	6050084790	0	0	0	1	0
33	6050081020	0	0	0	0	1
34	6050080920	0	0	0	0	1
35	6050079970	0	0	0	0	1
36	6050079860	0	0	1	0	0
37	6050079280	0	0	0	0	1
38	6050079250	0	0	0	0	1
39	6050102250	0	0	0	0	1
40	6050102330	0	0	0	1	0
41	6050134450	0	0	0	0	1
42	6050134460	0	0	0	0	1
43	6050134890	0	0	0	0	1
44	6050134790	0	1	0	0	0
45	6050083060	0	0	0	0	1
46	6050083130	0	0	0	0	1
47	6050104180	0	0	0	0	1
48	6050104230	0	0	0	1	0
49	6050137270	0	0	0	0	1
50	6050137380	0	0	1	0	0
51	6050136480	0	0	0	0	1
52	6050136450	0	0	0	1	0
53	6050150590	0	0	0	0	1
54	6050150580	0	0	0	0	1
55	6050126730	0	0	0	0	1
56	6050126850	0	0	0	0	1
57	6050129600	0	0	0	0	1
58	6050129810	0	0	0	0	1
59	6050154590	0	0	0	0	1
60	6050154700	0	0	0	0	1
61	6050156880	0	0	0	0	1
62	6050156750	0	0	0	0	1
63	6050143540	0	0	0	0	1
64	6050143380	0	0	0	0	1
65	6050130600	0	0	1	0	0
66	6050130490	0	0	0	0	1
67	6050160900	0	0	0	0	1
68	6050160730	0	0	0	0	1
69	6050004480	0	0	0	0	1
70	6050004870	0	0	0	0	1
71	6050099060	0	0	0	0	1
72	6050099010	0	0	0	1	0
73	6050113570	0	1	0	0	0
74	6050113660	0	0	0	0	1
75	6050121460	0	0	1	0	0
76	6050121450	0	0	0	0	1
77	6050134950	0	0	0	0	1
78	6050134940	0	0	1	0	0
79	6050004880	0	0	0	1	0
80	6050005180	0	0	0	1	0
81	6050005190	0	0	0	1	0
82	6050005490	0	0	0	1	0
83	6050005500	0	0	0	1	0
84	6050006470	0	0	0	0	1
85	6050006540	0	0	0	0	1
86	6050007000	0	0	0	0	1
87	6050239720	0	0	1	0	0
88	6050239820	0	0	0	1	0
89	6050238750	0	0	0	0	1
90	6050238630	0	0	0	0	1
91	6050241280	0	0	1	0	0
92	6050241250	0	0	0	0	1
93	6050261280	0	0	0	0	1
94	6050261380	0	0	0	0	1
95	6050263530	0	0	1	0	0
96	6050263540	0	0	0	0	1
97	6050262220	0	0	0	1	0
98	6050262110	0	0	0	1	0
99	6050298170	0	0	1	0	0
100	6050298270	0	0	1	0	0
101	6050250260	0	0	0	0	1
102	6050250180	0	0	0	1	0
103	6050266340	0	0	0	0	1
104	6050266470	0	0	0	1	0
105	6050325720	0	0	0	0	1
106	6050325820	0	0	1	0	0
107	6050262360	0	0	1	0	0
108	6050262490	0	0	1	0	0
109	6050272340	0	0	0	0	1
110	6050272470	0	0	0	0	1
111	6050384210	0	0	1	0	0
112	6050384320	0	0	1	0	0
113	6050285930	0	0	0	1	0
114	6050285990	0	0	0	1	0
115	6050280410	0	0	0	1	0
116	6050280400	0	0	0	1	0
117	6050405310	0	0	0	0	1
118	6050405320	0	0	0	0	1
119	6050337190	0	0	0	1	0
120	6050337320	0	0	0	1	0
121	6050294270	0	0	0	1	0
122	6050294360	0	0	0	1	0
123	6050247260	0	0	0	0	1
124	6050247270	0	0	1	0	0
125	6050237360	0	0	0	0	1
126	6050237120	0	0	0	1	0
127	6050457830	0	0	0	0	1
128	6050457840	0	0	1	0	0
129	6050506430	0	0	0	0	1
130	6050506420	0	0	0	0	1
131	6050224360	0	0	0	1	0
132	6050224470	0	0	0	0	1
133	6050532340	0	0	0	0	1
134	6050483010	0	0	0	0	1
135	6050532350	0	0	1	0	0
136	6050483020	0	0	0	0	1
137	6050287830	0	0	0	1	0
138	6050287820	0	0	0	1	0
139	6050425550	0	0	0	1	0
140	6050425540	0	0	0	1	0
141	6050266740	0	0	0	1	0
142	6050266880	0	0	0	1	0
143	6050207670	0	0	0	1	0
144	6050207660	0	0	0	0	1
145	6050491730	0	0	0	1	0
146	6050491720	0	0	0	1	0
147	6050532210	0	0	0	1	0
148	6050532200	0	0	0	1	0
149	6050315920	0	0	0	1	0
150	6050315910	0	0	0	1	0
151	6050007010	0	0	0	0	1
152	6050007050	0	0	0	0	1
153	6050007060	0	0	0	0	1
154	6050007090	0	0	0	0	1
155	6050007100	0	0	0	0	1
156	6050007240	0	0	0	0	1
157	6050007250	0	0	0	0	1
158	6050007650	0	0	0	0	1
159	6050007660	0	0	0	0	1
160	6050344660	0	0	0	0	1
161	6050345180	0	0	0	0	1
162	6050345000	0	0	0	0	1
163	6050411440	0	0	0	0	1
164	6050411450	0	0	0	0	1
165	6050408150	0	0	0	0	1
166	6050408040	0	0	0	0	1
167	6050443080	0	0	0	0	1
168	6050442950	0	0	0	0	1
169	6050449500	0	0	0	0	1
170	6050449170	0	0	0	0	1
171	6050458930	0	0	0	0	1
172	6050459050	0	0	0	0	1
173	6050451380	0	0	0	0	1
174	6050451390	0	0	0	0	1
175	6050476790	0	0	0	0	1
176	6050527670	0	0	0	0	1
177	6050527680	0	0	0	0	1
178	6050550960	0	0	0	0	1
179	6050551090	0	0	0	0	1
180	6050546240	0	0	0	0	1
181	6050546360	0	0	0	0	1
182	6050565980	0	0	0	0	1
183	6050565970	0	0	0	0	1
184	6050594780	0	0	0	0	1
185	6050594790	0	0	0	0	1
186	6050622980	0	0	0	0	1
187	6050622990	0	0	0	0	1
188	6050624770	0	0	0	0	1
189	6050624870	0	0	0	0	1
190	6050007960	0	1	0	0	0
191	6050008320	0	0	0	0	1
192	6050008620	0	0	0	0	1
193	6050008630	0	0	0	0	1
194	6050009220	0	0	0	0	1
195	6050009230	0	0	0	0	1
196	6050009250	0	0	0	0	1
197	6050009260	0	0	0	0	1
198	6050009430	0	0	0	0	1
199	6050009440	0	0	0	0	1
200	6050009760	0	0	0	0	1
201	6050334790	0	0	0	0	1
202	6050372330	0	0	0	0	1
203	6050372340	0	0	0	0	1
204	6050401900	0	0	0	0	1
205	6050401890	0	0	0	0	1
206	6050009770	0	0	0	0	1
207	6050010100	0	0	0	0	1
208	6050010110	0	0	0	0	1
209	6050010510	0	0	0	0	1
210	6050010520	0	0	0	0	1
211	6050010670	0	0	0	0	1
212	6050010680	0	0	0	0	1
213	6050011240	0	0	0	0	1
214	6050011250	0	0	0	0	1
215	6050011780	0	0	0	0	1
216	6050450420	0	0	0	0	1
217	6050450410	0	0	0	0	1
218	6050441200	0	0	0	0	1
219	6050441330	0	0	0	0	1
220	6050466270	0	0	0	0	1
221	6050466150	0	0	0	0	1
222	6050481680	0	0	0	0	1
223	6050481670	0	0	0	0	1
224	6050510750	0	0	0	0	1
225	6050562020	0	0	1	0	0
226	6050562010	0	0	0	0	1
227	6050595200	0	0	0	0	1
228	6050595210	0	0	0	0	1
229	6050639920	0	0	0	0	1
230	6050639910	0	0	0	0	1
231	6050649360	0	0	0	0	1
232	6050649500	0	0	0	0	1
233	6050652910	0	0	0	0	1
234	6050653020	0	0	0	0	1
235	6050670380	0	0	0	0	1
236	6050670510	0	0	0	0	1
237	6050684130	0	0	0	0	1
238	6050684180	0	0	0	0	1
239	6050011790	0	0	0	0	1
240	6050011890	0	0	0	0	1
241	6050011900	0	0	0	0	1
242	6050012020	0	0	0	0	1
243	6050012030	0	0	0	0	1
244	6050012280	0	0	0	0	1
245	6050012290	0	0	0	0	1
246	6050012370	0	0	0	0	1
247	6050012380	0	0	0	0	1
248	6050012580	0	0	0	0	1
249	6050012590	0	0	1	0	0
250	6050012790	0	0	0	0	1
251	6050012800	0	0	0	1	0
252	6050013420	0	0	1	0	0
253	6050013430	1	0	0	0	0
254	6050013750	0	0	0	1	0
255	6050013760	0	0	0	1	0
256	6050014330	0	0	0	1	0
257	6050015560	1	0	0	0	0
258	6050015570	1	0	0	0	0
259	6050015940	1	0	0	0	0
260	6050015950	0	0	1	0	0
261	6050016720	0	0	0	0	1
262	6050016760	1	0	0	0	0
263	6050852400	1	0	0	0	0
264	6050852410	0	0	0	0	1
265	6050852210	0	0	0	0	1
266	6050852180	0	0	0	0	1
267	6050842120	1	0	0	0	0
268	6050842130	1	0	0	0	0
269	6050818720	1	0	0	0	0
270	6050818840	1	0	0	0	0
271	6050016770	0	0	0	0	1
272	6050016970	0	0	0	0	1
273	6050893010	0	0	0	0	1
274	6050892920	0	0	1	0	0
275	6050887830	0	0	0	0	1
276	6050887840	0	0	0	0	1
277	6050887140	0	0	1	0	0
278	6050887050	0	0	0	0	1
279	6050879900	0	0	1	0	0
280	6050879890	0	0	0	0	1
281	6050870380	0	0	1	0	0
282	6050870370	0	0	1	0	0
283	6050869680	0	0	0	0	1
284	6050869670	0	0	0	0	1
285	6050849780	0	0	1	0	0
286	6050849790	0	0	0	0	1
287	6050846530	0	0	0	0	1
288	6050846520	0	0	0	0	1
289	6050837900	0	0	0	0	1
290	6050837910	0	0	0	0	1
291	6050816640	0	0	0	0	1
292	6050816630	0	0	0	0	1
293	6050816240	0	0	0	0	1
294	6050816160	0	0	0	0	1
295	6050814820	0	0	0	0	1
296	6050814830	1	0	0	0	0
297	6050830430	0	0	0	0	1
298	6050830420	0	0	0	0	1
299	6050808660	0	0	0	0	1
300	6050808670	0	0	1	0	0
301	6050819650	0	0	0	0	1
302	6050819640	0	0	0	0	1
303	6050790150	0	0	0	0	1
304	6050790160	0	0	1	0	0
305	6050793610	0	0	0	0	1
306	6050793620	1	0	0	0	0
307	6050774200	0	0	0	0	1
308	6050774150	0	0	0	0	1
309	6050762760	1	0	0	0	0
310	6050762870	0	0	0	0	1
311	6050759380	0	0	0	0	1
312	6050759370	1	0	0	0	0
313	6050752460	0	0	0	0	1
314	6050752470	0	0	0	0	1
315	6050710030	0	0	0	1	0
316	6050710170	0	0	1	0	0
317	6050738860	0	0	0	0	1
318	6050738870	0	0	0	0	1
319	6050728580	0	0	0	0	1
320	6050728570	0	0	0	0	1
321	6050755160	0	0	0	0	1
322	6050755240	1	0	0	0	0
323	6050721300	0	0	0	0	1
324	6050721310	0	0	0	0	1
325	6050718170	0	0	0	0	1
326	6050718180	0	0	0	1	0
327	6050757580	0	0	0	0	1
328	6050757590	0	0	0	0	1
329	6050709810	0	0	0	0	1
330	6050709820	0	0	0	0	1
331	6050757070	0	0	0	0	1
332	6050757160	0	0	0	0	1
333	6050760520	0	0	0	0	1
334	6050760600	0	0	0	0	1
335	6050705380	0	0	0	0	1
336	6050705490	0	0	0	0	1
337	6050667100	0	0	0	1	0
338	6050667090	0	0	1	0	0
339	6050681620	0	0	0	0	1
340	6050681720	0	0	0	0	1
341	6050680410	0	0	0	0	1
342	6050680380	0	0	0	0	1
343	6050709700	0	0	0	0	1
344	6050709930	0	0	0	0	1
345	6050708750	0	0	0	0	1
346	6050708820	0	0	0	0	1
347	6050674150	0	0	1	0	0
348	6050674210	0	0	0	0	1
349	6050675150	0	0	0	0	1
350	6050675090	0	0	0	0	1
351	6050719760	0	0	0	0	1
352	6050719850	0	0	0	0	1
353	6050016980	0	0	1	0	0
354	6050017380	0	0	0	0	1
355	6050017540	0	0	0	0	1
356	6050017980	0	0	0	0	1
357	6050018290	0	0	0	0	1
358	6050018850	0	0	0	0	1
359	6050933820	0	0	0	0	1
360	6050933800	0	0	0	0	1
361	6050913910	0	0	0	0	1
362	6050913900	0	0	0	0	1
363	6050877660	0	0	0	0	1
364	6050862860	0	0	0	0	1
365	6050862810	0	0	0	0	1
366	6050019090	0	0	0	0	1
367	6050934620	0	0	0	0	1
368	6050934630	0	0	0	0	1
369	6050937230	0	0	0	0	1
370	6050937260	0	0	0	0	1
371	6050942390	0	0	0	0	1
372	6050942410	0	0	0	0	1
373	6050942470	0	0	0	0	1
374	6050942450	0	0	0	0	1
375	6050020000	0	0	0	0	1
376	6050954860	0	0	0	0	1
377	6050954870	0	0	0	0	1
378	6050960240	0	0	0	0	1
379	6050960220	0	0	0	0	1
380	6050960610	0	0	0	0	1
381	6050960580	0	0	0	0	1
382	6050958450	0	0	0	0	1
383	6050958420	0	0	0	0	1
384	6050020960	0	0	0	0	1
385	6050021020	0	0	0	0	1
386	6050021030	0	0	0	0	1
387	6050021060	0	0	0	0	1
388	6050021070	0	0	0	0	1
389	6050021160	0	0	0	0	1
390	6050021170	0	0	0	0	1
391	6050021180	0	0	0	0	1
392	6050021190	0	0	0	0	1
393	6050021210	0	0	0	0	1
394	6050024060	0	0	0	0	1
395	6050025410	0	0	0	0	1
396	6050025420	0	0	0	0	1
397	6050026140	0	0	0	0	1
398	6050026750	0	0	0	0	1
399	6050026760	0	0	0	0	1
400	6050026990	0	0	0	0	1
401	6050027000	0	0	0	0	1
402	6050027220	0	0	0	0	1
403	6050027230	0	0	0	0	1
404	6050027290	0	0	0	0	1
